uuid,key,value
id-49be8339-84d7-11ec-289a-0050568b5c9f,CMDB ID,3146216537e2ee4061eb2b2943990e54
id-49be8339-84d7-11ec-289a-0050568b5c9f,ING ID,application-business-34462
id-49be8339-84d7-11ec-289a-0050568b5c9f,Environment,Production
id-49be8339-84d7-11ec-289a-0050568b5c9f,Operational Status,Operational
id-49be8339-84d7-11ec-289a-0050568b5c9f,Documentation,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Description,sents to G/L AE injected in PAN by applications not yet connected to FAR (the AE are enriched by referentials) and sents to PAN AE coming from G/L in order to have a correct balance in PAN (VAT & pro rata information
id-49be8339-84d7-11ec-289a-0050568b5c9f,BIA Date,22/07/2020
id-49be8339-84d7-11ec-289a-0050568b5c9f,Comment,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Category,Business Application
id-49be8339-84d7-11ec-289a-0050568b5c9f,Parent IT Solution,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Business unit,BE/HR & Finance & Risk
id-49be8339-84d7-11ec-289a-0050568b5c9f,Support Group,be+nl/Finance & Risk Support Chain/F&R Business Support (MA)
id-49be8339-84d7-11ec-289a-0050568b5c9f,Asset Owner,Camille Villeroy de Galhau
id-49be8339-84d7-11ec-289a-0050568b5c9f,IT Custodian,Tine Puttenaers
id-49be8339-84d7-11ec-289a-0050568b5c9f,Architect,Kathy Mottet
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM1,Finance management
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM2,Accounting
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM3,Detailed accounting
id-49be8339-84d7-11ec-289a-0050568b5c9f,CMDB ID,3146216537e2ee4061eb2b2943990e54
id-49be8339-84d7-11ec-289a-0050568b5c9f,ING ID,application-business-34462
id-49be8339-84d7-11ec-289a-0050568b5c9f,Environment,Production
id-49be8339-84d7-11ec-289a-0050568b5c9f,Operational Status,Operational
id-49be8339-84d7-11ec-289a-0050568b5c9f,Documentation,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Description,sents to G/L AE injected in PAN by applications not yet connected to FAR (the AE are enriched by referentials) and sents to PAN AE coming from G/L in order to have a correct balance in PAN (VAT & pro rata information
id-49be8339-84d7-11ec-289a-0050568b5c9f,BIA Date,22/07/2020
id-49be8339-84d7-11ec-289a-0050568b5c9f,Comment,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Category,Business Application
id-49be8339-84d7-11ec-289a-0050568b5c9f,Parent IT Solution,
id-49be8339-84d7-11ec-289a-0050568b5c9f,Business unit,BE/HR & Finance & Risk
id-49be8339-84d7-11ec-289a-0050568b5c9f,Support Group,be+nl/Finance & Risk Support Chain/F&R Business Support (MA)
id-49be8339-84d7-11ec-289a-0050568b5c9f,Asset Owner,Camille Villeroy de Galhau
id-49be8339-84d7-11ec-289a-0050568b5c9f,IT Custodian,Tine Puttenaers
id-49be8339-84d7-11ec-289a-0050568b5c9f,Architect,Kathy Mottet
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM1,Finance management
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM2,Accounting
id-49be8339-84d7-11ec-289a-0050568b5c9f,BCM3,Detailed accounting
id-a5416933-09c8-11ed-1459-0a0027000004,CMDB ID,
id-a5416933-09c8-11ed-1459-0a0027000004,ING ID,
id-a5416933-09c8-11ed-1459-0a0027000004,Environment,Production
id-a5416933-09c8-11ed-1459-0a0027000004,Operational Status,Decommissioned
id-a5416933-09c8-11ed-1459-0a0027000004,Documentation,Presentation & Truncation d'Effets en FB.Agences. Wisselsaanbieding en Inhouding in BF. Kantoren.
id-a5416933-09c8-11ed-1459-0a0027000004,Description,
id-a5416933-09c8-11ed-1459-0a0027000004,BIA Date,
id-a5416933-09c8-11ed-1459-0a0027000004,Comment,
id-a5416933-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a5416933-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a5416933-09c8-11ed-1459-0a0027000004,Business unit,
id-a5416933-09c8-11ed-1459-0a0027000004,Support Group,
id-a5416933-09c8-11ed-1459-0a0027000004,Asset Owner,
id-a5416933-09c8-11ed-1459-0a0027000004,IT Custodian,
id-a5416933-09c8-11ed-1459-0a0027000004,Architect,Vipin Zharotia
id-a5416933-09c8-11ed-1459-0a0027000004,BCM1,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,BCM2,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,BCM3,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,Domain,Business lending
id-a5416933-09c8-11ed-1459-0a0027000004,S-Code,
id-a5416933-09c8-11ed-1459-0a0027000004,Automation,
id-a5416933-09c8-11ed-1459-0a0027000004,CMDB ID,
id-a5416933-09c8-11ed-1459-0a0027000004,ING ID,
id-a5416933-09c8-11ed-1459-0a0027000004,Environment,Production
id-a5416933-09c8-11ed-1459-0a0027000004,Operational Status,Decommissioned
id-a5416933-09c8-11ed-1459-0a0027000004,Documentation,Presentation & Truncation d'Effets en FB.Agences. Wisselsaanbieding en Inhouding in BF. Kantoren.
id-a5416933-09c8-11ed-1459-0a0027000004,Description,
id-a5416933-09c8-11ed-1459-0a0027000004,BIA Date,
id-a5416933-09c8-11ed-1459-0a0027000004,Comment,
id-a5416933-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a5416933-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a5416933-09c8-11ed-1459-0a0027000004,Business unit,
id-a5416933-09c8-11ed-1459-0a0027000004,Support Group,
id-a5416933-09c8-11ed-1459-0a0027000004,Asset Owner,
id-a5416933-09c8-11ed-1459-0a0027000004,IT Custodian,
id-a5416933-09c8-11ed-1459-0a0027000004,Architect,Vipin Zharotia
id-a5416933-09c8-11ed-1459-0a0027000004,BCM1,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,BCM2,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,BCM3,N/A
id-a5416933-09c8-11ed-1459-0a0027000004,Domain,Business lending
id-a5416933-09c8-11ed-1459-0a0027000004,S-Code,
id-a5416933-09c8-11ed-1459-0a0027000004,Automation,
id-a54e1361-09c8-11ed-1459-0a0027000004,Target Application Option 2,iMX
id-a54e1361-09c8-11ed-1459-0a0027000004,Target Application Option 2,iMX
id-a54e8893-09c8-11ed-1459-0a0027000004,Target Application Option 1,Account engine DAL
id-a54e8893-09c8-11ed-1459-0a0027000004,Target Application Option 1,Account engine DAL
id-a54a69e1-09c8-11ed-1459-0a0027000004,Target Application Option 1,NextGen AE
id-a54a69e1-09c8-11ed-1459-0a0027000004,Target Application Option 1,NextGen AE
id-a55d55ab-09c8-11ed-1459-0a0027000004,Target Application Option 1,"EPOS (ZAFIN) , NextAE as slave"
id-a55d55ab-09c8-11ed-1459-0a0027000004,Target Application Option 1,"EPOS (ZAFIN) , NextAE as slave"
id-a5433df5-09c8-11ed-1459-0a0027000004,P-Code,
id-a5433df5-09c8-11ed-1459-0a0027000004,P-Code,
id-a54efdc5-09c8-11ed-1459-0a0027000004,Target Application Option 1,OMAAP
id-a54efdc5-09c8-11ed-1459-0a0027000004,Target Application Option 1,OMAAP
id-a545fd15-09c8-11ed-1459-0a0027000004,CMDB ID,dce7d96d3722ee4061eb2b2943990ef9
id-a545fd15-09c8-11ed-1459-0a0027000004,ING ID,application-business-38633
id-a545fd15-09c8-11ed-1459-0a0027000004,Environment,Production
id-a545fd15-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a545fd15-09c8-11ed-1459-0a0027000004,Documentation,Centralisation change CNO Centralisatie wissel NOC
id-a545fd15-09c8-11ed-1459-0a0027000004,Description,Centralization of Forex operations for investment.
id-a545fd15-09c8-11ed-1459-0a0027000004,BIA Date,
id-a545fd15-09c8-11ed-1459-0a0027000004,Comment,@Amella
id-a545fd15-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a545fd15-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a545fd15-09c8-11ed-1459-0a0027000004,Business unit,BE/Domestic Products/Investments
id-a545fd15-09c8-11ed-1459-0a0027000004,Support Group,be+nl/Investments/Belgian Platform & AAA/Plans Management & Fund Transaction Exe
id-a545fd15-09c8-11ed-1459-0a0027000004,Asset Owner,Erik Hagreis
id-a545fd15-09c8-11ed-1459-0a0027000004,IT Custodian,Arnaud Gaudissart
id-a545fd15-09c8-11ed-1459-0a0027000004,Architect,Marcel Delhez
id-a545fd15-09c8-11ed-1459-0a0027000004,BCM1,Product & service processing
id-a545fd15-09c8-11ed-1459-0a0027000004,BCM2,Product processing
id-a545fd15-09c8-11ed-1459-0a0027000004,BCM3,Investment processing
id-a545fd15-09c8-11ed-1459-0a0027000004,Domain,Investments
id-a545fd15-09c8-11ed-1459-0a0027000004,S-Code,
id-a545fd15-09c8-11ed-1459-0a0027000004,Automation,FG
id-a545fd15-09c8-11ed-1459-0a0027000004,CMDB ID,dce7d96d3722ee4061eb2b2943990ef9
id-a545fd15-09c8-11ed-1459-0a0027000004,ING ID,application-business-38633
id-a545fd15-09c8-11ed-1459-0a0027000004,Environment,Production
id-a545fd15-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a545fd15-09c8-11ed-1459-0a0027000004,Documentation,Centralisation change CNO Centralisatie wissel NOC
id-a545fd15-09c8-11ed-1459-0a0027000004,Description,Centralization of Forex operations for investment.
id-a545fd15-09c8-11ed-1459-0a0027000004,BIA Date,
id-a545fd15-09c8-11ed-1459-0a0027000004,Comment,@Amella
id-a545fd15-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a545fd15-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a545fd15-09c8-11ed-1459-0a0027000004,Business unit,BE/Domestic Products/Investments
id-a545fd15-09c8-11ed-1459-0a0027000004,Support Group,be+nl/Investments/Belgian Platform & AAA/Plans Management & Fund Transaction Exe
id-a545fd15-09c8-11ed-1459-0a0027000004,Asset Owner,Erik Hagreis
id-a545fd15-09c8-11ed-1459-0a0027000004,IT Custodian,Arnaud Gaudissart
id-a545fd15-09c8-11ed-1459-0a0027000004,Architect,Marcel Delhez
id-a545fd15-09c8-11ed-1459-0a0027000004,BCM1,Product & service processing
id-a545fd15-09c8-11ed-1459-0a0027000004,BCM2,Product processing
id-a545fd15-09c8-11ed-1459-0a0027000004,BCM3,Investment processing
id-a545fd15-09c8-11ed-1459-0a0027000004,Domain,Investments
id-a545fd15-09c8-11ed-1459-0a0027000004,S-Code,
id-a545fd15-09c8-11ed-1459-0a0027000004,Automation,FG
id-a55629b5-09c8-11ed-1459-0a0027000004,Target Application Option 1,Europort
id-a55629b5-09c8-11ed-1459-0a0027000004,Target Application Option 1,Europort
id-a5436503-09c8-11ed-1459-0a0027000004,CMDB ID,a9827da93726ee4061eb2b2943990ef5
id-a5436503-09c8-11ed-1459-0a0027000004,ING ID,application-business-34067
id-a5436503-09c8-11ed-1459-0a0027000004,Environment,Production
id-a5436503-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a5436503-09c8-11ed-1459-0a0027000004,Documentation,Leasing de biens d'quipements Leasing de biens d'quipements
id-a5436503-09c8-11ed-1459-0a0027000004,Description,Leasing Invest / Invest Leasing Management of the information flows between ING Lease & ING B about Car Lease
id-a5436503-09c8-11ed-1459-0a0027000004,BIA Date,
id-a5436503-09c8-11ed-1459-0a0027000004,Comment,
id-a5436503-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a5436503-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a5436503-09c8-11ed-1459-0a0027000004,Business unit,BE/Domestic Products/Lending
id-a5436503-09c8-11ed-1459-0a0027000004,Support Group,"be+nl/Mortgages BE/Loan, Stater and Data management (LSD squad)"
id-a5436503-09c8-11ed-1459-0a0027000004,Asset Owner,Albin Moreau
id-a5436503-09c8-11ed-1459-0a0027000004,IT Custodian,Filip Queeckers
id-a5436503-09c8-11ed-1459-0a0027000004,Architect,Vipin Zharotia
id-a5436503-09c8-11ed-1459-0a0027000004,BCM1,Product & service processing
id-a5436503-09c8-11ed-1459-0a0027000004,BCM2,Product processing
id-a5436503-09c8-11ed-1459-0a0027000004,BCM3,Lease Processing
id-a5436503-09c8-11ed-1459-0a0027000004,Domain,Business lending
id-a5436503-09c8-11ed-1459-0a0027000004,S-Code,
id-a5436503-09c8-11ed-1459-0a0027000004,Automation,FGI
id-a5436503-09c8-11ed-1459-0a0027000004,CMDB ID,a9827da93726ee4061eb2b2943990ef5
id-a5436503-09c8-11ed-1459-0a0027000004,ING ID,application-business-34067
id-a5436503-09c8-11ed-1459-0a0027000004,Environment,Production
id-a5436503-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a5436503-09c8-11ed-1459-0a0027000004,Documentation,Leasing de biens d'quipements Leasing de biens d'quipements
id-a5436503-09c8-11ed-1459-0a0027000004,Description,Leasing Invest / Invest Leasing Management of the information flows between ING Lease & ING B about Car Lease
id-a5436503-09c8-11ed-1459-0a0027000004,BIA Date,
id-a5436503-09c8-11ed-1459-0a0027000004,Comment,
id-a5436503-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a5436503-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a5436503-09c8-11ed-1459-0a0027000004,Business unit,BE/Domestic Products/Lending
id-a5436503-09c8-11ed-1459-0a0027000004,Support Group,"be+nl/Mortgages BE/Loan, Stater and Data management (LSD squad)"
id-a5436503-09c8-11ed-1459-0a0027000004,Asset Owner,Albin Moreau
id-a5436503-09c8-11ed-1459-0a0027000004,IT Custodian,Filip Queeckers
id-a5436503-09c8-11ed-1459-0a0027000004,Architect,Vipin Zharotia
id-a5436503-09c8-11ed-1459-0a0027000004,BCM1,Product & service processing
id-a5436503-09c8-11ed-1459-0a0027000004,BCM2,Product processing
id-a5436503-09c8-11ed-1459-0a0027000004,BCM3,Lease Processing
id-a5436503-09c8-11ed-1459-0a0027000004,Domain,Business lending
id-a5436503-09c8-11ed-1459-0a0027000004,S-Code,
id-a5436503-09c8-11ed-1459-0a0027000004,Automation,FGI
id-a54fc111-09c8-11ed-1459-0a0027000004,Target Application Option 1,EUROPORT
id-a54fc111-09c8-11ed-1459-0a0027000004,Target Application Option 1,EUROPORT
id-a54e1363-09c8-11ed-1459-0a0027000004,Target Application Option 1,PSA
id-a54e1363-09c8-11ed-1459-0a0027000004,Target Application Option 2,iMX
id-a54e1363-09c8-11ed-1459-0a0027000004,Target Application Option 1,PSA
id-a54e1363-09c8-11ed-1459-0a0027000004,Target Application Option 2,iMX
id-a55873a3-09c8-11ed-1459-0a0027000004,Target Application Option 1,Target AMS
id-a55873a3-09c8-11ed-1459-0a0027000004,Target Application Option 2,BPO
id-a55873a3-09c8-11ed-1459-0a0027000004,Target Application Option 1,Target AMS
id-a55873a3-09c8-11ed-1459-0a0027000004,Target Application Option 2,BPO
id-a54f24d5-09c8-11ed-1459-0a0027000004,Target Application Option 1,GMDB
id-a54f24d5-09c8-11ed-1459-0a0027000004,Target Application Option 1,GMDB
id-a542c8c5-09c8-11ed-1459-0a0027000004,CMDB ID,430179293726ee4061eb2b2943990e4e
id-a542c8c5-09c8-11ed-1459-0a0027000004,ING ID,application-business-39625
id-a542c8c5-09c8-11ed-1459-0a0027000004,Environment,Production
id-a542c8c5-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a542c8c5-09c8-11ed-1459-0a0027000004,Documentation,Interface Management Client (Gestion) Interface Management Client (Beheer)
id-a542c8c5-09c8-11ed-1459-0a0027000004,Description,IMC extracts an end-of-month version of the CSI data by copying the ECO flat files the last day of the month.
id-a542c8c5-09c8-11ed-1459-0a0027000004,BIA Date,
id-a542c8c5-09c8-11ed-1459-0a0027000004,Comment,
id-a542c8c5-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a542c8c5-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a542c8c5-09c8-11ed-1459-0a0027000004,Business unit,BE/HR & Finance & Risk
id-a542c8c5-09c8-11ed-1459-0a0027000004,Support Group,be+nl/Finance & Risk Support Chain/F&R Business Support (MA)
id-a542c8c5-09c8-11ed-1459-0a0027000004,Asset Owner,Camille Villeroy de Galhau
id-a542c8c5-09c8-11ed-1459-0a0027000004,IT Custodian,Tine Puttenaers
id-a542c8c5-09c8-11ed-1459-0a0027000004,Architect,Kathy Mottet
id-a542c8c5-09c8-11ed-1459-0a0027000004,BCM1,Finance management
id-a542c8c5-09c8-11ed-1459-0a0027000004,BCM2,Finance Reporting Foundation Management
id-a542c8c5-09c8-11ed-1459-0a0027000004,BCM3,<Technical>
id-a542c8c5-09c8-11ed-1459-0a0027000004,Domain,Finance & Risk
id-a542c8c5-09c8-11ed-1459-0a0027000004,S-Code,
id-a542c8c5-09c8-11ed-1459-0a0027000004,Automation,FGI
id-a542c8c5-09c8-11ed-1459-0a0027000004,CMDB ID,430179293726ee4061eb2b2943990e4e
id-a542c8c5-09c8-11ed-1459-0a0027000004,ING ID,application-business-39625
id-a542c8c5-09c8-11ed-1459-0a0027000004,Environment,Production
id-a542c8c5-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a542c8c5-09c8-11ed-1459-0a0027000004,Documentation,Interface Management Client (Gestion) Interface Management Client (Beheer)
id-a542c8c5-09c8-11ed-1459-0a0027000004,Description,IMC extracts an end-of-month version of the CSI data by copying the ECO flat files the last day of the month.
id-a542c8c5-09c8-11ed-1459-0a0027000004,BIA Date,
id-a542c8c5-09c8-11ed-1459-0a0027000004,Comment,
id-a542c8c5-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a542c8c5-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a542c8c5-09c8-11ed-1459-0a0027000004,Business unit,BE/HR & Finance & Risk
id-a542c8c5-09c8-11ed-1459-0a0027000004,Support Group,be+nl/Finance & Risk Support Chain/F&R Business Support (MA)
id-a542c8c5-09c8-11ed-1459-0a0027000004,Asset Owner,Camille Villeroy de Galhau
id-a542c8c5-09c8-11ed-1459-0a0027000004,IT Custodian,Tine Puttenaers
id-a542c8c5-09c8-11ed-1459-0a0027000004,Architect,Kathy Mottet
id-a542c8c5-09c8-11ed-1459-0a0027000004,BCM1,Finance management
id-a542c8c5-09c8-11ed-1459-0a0027000004,BCM2,Finance Reporting Foundation Management
id-a542c8c5-09c8-11ed-1459-0a0027000004,BCM3,<Technical>
id-a542c8c5-09c8-11ed-1459-0a0027000004,Domain,Finance & Risk
id-a542c8c5-09c8-11ed-1459-0a0027000004,S-Code,
id-a542c8c5-09c8-11ed-1459-0a0027000004,Automation,FGI
id-a5531c77-09c8-11ed-1459-0a0027000004,Target Application Option 1,BOR
id-a5531c77-09c8-11ed-1459-0a0027000004,Target Application Option 1,BOR
id-a5536a91-09c8-11ed-1459-0a0027000004,Target Application Option 1,Europort
id-a5536a91-09c8-11ed-1459-0a0027000004,Target Application Option 1,Europort
id-a5503645-09c8-11ed-1459-0a0027000004,Target Application Option 1,SDD DEBTOR SERVICES API
id-a5503645-09c8-11ed-1459-0a0027000004,Target Application Option 1,SDD DEBTOR SERVICES API
id-a549f4b1-09c8-11ed-1459-0a0027000004,Target Application Option 1,TAR ==> EPOS
id-a549f4b1-09c8-11ed-1459-0a0027000004,Target Application Option 1,TAR ==> EPOS
id-a5582585-09c8-11ed-1459-0a0027000004,Target Application Option 1,MOS
id-a5582585-09c8-11ed-1459-0a0027000004,Target Application Option 2,LOP
id-a5582585-09c8-11ed-1459-0a0027000004,Target Application Option 1,MOS
id-a5582585-09c8-11ed-1459-0a0027000004,Target Application Option 2,LOP
id-a53fbb83-09c8-11ed-1459-0a0027000004,CMDB ID,6ea9ede937e2ee4061eb2b2943990ef3
id-a53fbb83-09c8-11ed-1459-0a0027000004,ING ID,application-business-39030
id-a53fbb83-09c8-11ed-1459-0a0027000004,Environment,Production
id-a53fbb83-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a53fbb83-09c8-11ed-1459-0a0027000004,Documentation,Bilan et Resultat. Balans en Resultaten.
id-a53fbb83-09c8-11ed-1459-0a0027000004,Description,BRB (Balansen Rubrieken / Rubriques Bilans) is a database containing the annual accounts of Belgian companies received from the Central Balance Sheet Office of the Belgian National Bank).
id-a53fbb83-09c8-11ed-1459-0a0027000004,BIA Date,
id-a53fbb83-09c8-11ed-1459-0a0027000004,Comment,
id-a53fbb83-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a53fbb83-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a53fbb83-09c8-11ed-1459-0a0027000004,Business unit,BE/Domestic Products/Lending
id-a53fbb83-09c8-11ed-1459-0a0027000004,Support Group,be+nl/Business lending/Risk & Competitiveness/Transversal Customer Overview
id-a53fbb83-09c8-11ed-1459-0a0027000004,Asset Owner,Albin Moreau
id-a53fbb83-09c8-11ed-1459-0a0027000004,IT Custodian,Filip Queeckers
id-a53fbb83-09c8-11ed-1459-0a0027000004,Architect,Boris Veroeveren
id-a53fbb83-09c8-11ed-1459-0a0027000004,BCM1,Product & service processing
id-a53fbb83-09c8-11ed-1459-0a0027000004,BCM2,Cross product processing
id-a53fbb83-09c8-11ed-1459-0a0027000004,BCM3,External data management
id-a53fbb83-09c8-11ed-1459-0a0027000004,Domain,Business lending
id-a53fbb83-09c8-11ed-1459-0a0027000004,S-Code,
id-a53fbb83-09c8-11ed-1459-0a0027000004,Automation,FG
id-a53fbb83-09c8-11ed-1459-0a0027000004,CMDB ID,6ea9ede937e2ee4061eb2b2943990ef3
id-a53fbb83-09c8-11ed-1459-0a0027000004,ING ID,application-business-39030
id-a53fbb83-09c8-11ed-1459-0a0027000004,Environment,Production
id-a53fbb83-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a53fbb83-09c8-11ed-1459-0a0027000004,Documentation,Bilan et Resultat. Balans en Resultaten.
id-a53fbb83-09c8-11ed-1459-0a0027000004,Description,BRB (Balansen Rubrieken / Rubriques Bilans) is a database containing the annual accounts of Belgian companies received from the Central Balance Sheet Office of the Belgian National Bank).
id-a53fbb83-09c8-11ed-1459-0a0027000004,BIA Date,
id-a53fbb83-09c8-11ed-1459-0a0027000004,Comment,
id-a53fbb83-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a53fbb83-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a53fbb83-09c8-11ed-1459-0a0027000004,Business unit,BE/Domestic Products/Lending
id-a53fbb83-09c8-11ed-1459-0a0027000004,Support Group,be+nl/Business lending/Risk & Competitiveness/Transversal Customer Overview
id-a53fbb83-09c8-11ed-1459-0a0027000004,Asset Owner,Albin Moreau
id-a53fbb83-09c8-11ed-1459-0a0027000004,IT Custodian,Filip Queeckers
id-a53fbb83-09c8-11ed-1459-0a0027000004,Architect,Boris Veroeveren
id-a53fbb83-09c8-11ed-1459-0a0027000004,BCM1,Product & service processing
id-a53fbb83-09c8-11ed-1459-0a0027000004,BCM2,Cross product processing
id-a53fbb83-09c8-11ed-1459-0a0027000004,BCM3,External data management
id-a53fbb83-09c8-11ed-1459-0a0027000004,Domain,Business lending
id-a53fbb83-09c8-11ed-1459-0a0027000004,S-Code,
id-a53fbb83-09c8-11ed-1459-0a0027000004,Automation,FG
id-a5553f53-09c8-11ed-1459-0a0027000004,Target Application Option 1,Europort
id-a5553f53-09c8-11ed-1459-0a0027000004,Target Application Option 1,Europort
id-a548bc33-09c8-11ed-1459-0a0027000004,Target Application Option 1,Target Cards Engine
id-a548bc33-09c8-11ed-1459-0a0027000004,Target Application Option 1,Target Cards Engine
id-a5462427-09c8-11ed-1459-0a0027000004,CMDB ID,128cad213726ee4061eb2b2943990e39
id-a5462427-09c8-11ed-1459-0a0027000004,ING ID,application-business-34242
id-a5462427-09c8-11ed-1459-0a0027000004,Environment,Production
id-a5462427-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a5462427-09c8-11ed-1459-0a0027000004,Documentation,Teleprocessing firme. Teleprocessing firma.
id-a5462427-09c8-11ed-1459-0a0027000004,Description,
id-a5462427-09c8-11ed-1459-0a0027000004,BIA Date,
id-a5462427-09c8-11ed-1459-0a0027000004,Comment,
id-a5462427-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a5462427-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a5462427-09c8-11ed-1459-0a0027000004,Business unit,BE/Domestic Products/Core Banking
id-a5462427-09c8-11ed-1459-0a0027000004,Support Group,be+nl/Payments BE/Products/Pay CODA Rangers
id-a5462427-09c8-11ed-1459-0a0027000004,Asset Owner,Amaury Vanthournout
id-a5462427-09c8-11ed-1459-0a0027000004,IT Custodian,Patrick Ghysen
id-a5462427-09c8-11ed-1459-0a0027000004,Architect,Patrick Van De Putte
id-a5462427-09c8-11ed-1459-0a0027000004,BCM1,
id-a5462427-09c8-11ed-1459-0a0027000004,BCM2,
id-a5462427-09c8-11ed-1459-0a0027000004,BCM3,
id-a5462427-09c8-11ed-1459-0a0027000004,Domain,Payment (domestic)
id-a5462427-09c8-11ed-1459-0a0027000004,S-Code,
id-a5462427-09c8-11ed-1459-0a0027000004,Automation,FG
id-a5462427-09c8-11ed-1459-0a0027000004,CMDB ID,128cad213726ee4061eb2b2943990e39
id-a5462427-09c8-11ed-1459-0a0027000004,ING ID,application-business-34242
id-a5462427-09c8-11ed-1459-0a0027000004,Environment,Production
id-a5462427-09c8-11ed-1459-0a0027000004,Operational Status,Operational
id-a5462427-09c8-11ed-1459-0a0027000004,Documentation,Teleprocessing firme. Teleprocessing firma.
id-a5462427-09c8-11ed-1459-0a0027000004,Description,
id-a5462427-09c8-11ed-1459-0a0027000004,BIA Date,
id-a5462427-09c8-11ed-1459-0a0027000004,Comment,
id-a5462427-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a5462427-09c8-11ed-1459-0a0027000004,Parent IT Solution,
id-a5462427-09c8-11ed-1459-0a0027000004,Business unit,BE/Domestic Products/Core Banking
id-a5462427-09c8-11ed-1459-0a0027000004,Support Group,be+nl/Payments BE/Products/Pay CODA Rangers
id-a5462427-09c8-11ed-1459-0a0027000004,Asset Owner,Amaury Vanthournout
id-a5462427-09c8-11ed-1459-0a0027000004,IT Custodian,Patrick Ghysen
id-a5462427-09c8-11ed-1459-0a0027000004,Architect,Patrick Van De Putte
id-a5462427-09c8-11ed-1459-0a0027000004,BCM1,
id-a5462427-09c8-11ed-1459-0a0027000004,BCM2,
id-a5462427-09c8-11ed-1459-0a0027000004,BCM3,
id-a5462427-09c8-11ed-1459-0a0027000004,Domain,Payment (domestic)
id-a5462427-09c8-11ed-1459-0a0027000004,S-Code,
id-a5462427-09c8-11ed-1459-0a0027000004,Automation,FG
id-a54f9a05-09c8-11ed-1459-0a0027000004,Target Application Option 1,OMAAP
id-a54f9a05-09c8-11ed-1459-0a0027000004,Target Application Option 1,OMAAP
id-a5503647-09c8-11ed-1459-0a0027000004,Target Application Option 1,OMAAP
id-a5503647-09c8-11ed-1459-0a0027000004,Target Application Option 1,OMAAP
id-a54539c3-09c8-11ed-1459-0a0027000004,CMDB ID,1ca8b9a53766ee4061eb2b2943990e75
id-a54539c3-09c8-11ed-1459-0a0027000004,ING ID,application-business-33896
id-a54539c3-09c8-11ed-1459-0a0027000004,Environment,Production
id-a54539c3-09c8-11ed-1459-0a0027000004,Operational Status,Decommissioned
id-a54539c3-09c8-11ed-1459-0a0027000004,Documentation,
id-a54539c3-09c8-11ed-1459-0a0027000004,Description,Order manager which deals with Bulk Incoming Messages and is a mid-office interface for all aspects of Electronic Banking between the ING front-office channels and the back-office applications
id-a54539c3-09c8-11ed-1459-0a0027000004,BIA Date,
id-a54539c3-09c8-11ed-1459-0a0027000004,Comment,
id-a54539c3-09c8-11ed-1459-0a0027000004,Category,Business Application
id-a54539c3-09c8-11ed-1459-0a0027000004,Parent IT Solution,
